dataset,size,algorithm,mean,stddev,min,max,runtime_ms,runs
convex_1000.txt,1000,BruteForce,5440.846745,0,5440.846745,5440.846745,1446.987,1
convex_200.txt,200,BruteForce,3985.420789,0,3985.420789,3985.420789,11.403,1
convex_2000.txt,2000,BruteForce,6069.164629,0,6069.164629,6069.164629,9389.99,1
convex_25.txt,25,BruteForce,2101.820987,0,2101.820987,2101.820987,4.754,1
convex_3000.txt,3000,BruteForce,6434.95436,0,6434.95436,6434.95436,31684.694,1
convex_50.txt,50,BruteForce,2729.106673,0,2729.106673,2729.106673,3.091,1
convex_500.txt,500,BruteForce,4812.530799,0,4812.530799,4812.530799,147.407,1
fractal_1000.txt,1000,BruteForce,7742.992767,0,7742.992767,7742.992767,1175.641,1
fractal_200.txt,200,BruteForce,4039.842534,0,4039.842534,4039.842534,11.761,1
fractal_2000.txt,2000,BruteForce,11982.867922,0,11982.867922,11982.867922,9530.301,1
fractal_25.txt,25,BruteForce,2059.605557,0,2059.605557,2059.605557,4.285,1
fractal_3000.txt,3000,BruteForce,16334.444617,0,16334.444617,16334.444617,31916.834,1
fractal_50.txt,50,BruteForce,2675.35663,0,2675.35663,2675.35663,2.779,1
fractal_500.txt,500,BruteForce,5539.151057,0,5539.151057,5539.151057,147.272,1
gaussian_1000.txt,1000,BruteForce,317709.428798,0,317709.428798,317709.428798,1179.142,1
gaussian_200.txt,200,BruteForce,63144.653001,0,63144.653001,63144.653001,11.982,1
gaussian_2000.txt,2000,BruteForce,667030.014141,0,667030.014141,667030.014141,9481.75,1
gaussian_25.txt,25,BruteForce,6736.890635,0,6736.890635,6736.890635,2.953,1
gaussian_3000.txt,3000,BruteForce,983678.971165,0,983678.971165,983678.971165,32108.424,1
gaussian_50.txt,50,BruteForce,18469.191633,0,18469.191633,18469.191633,2.92,1
gaussian_500.txt,500,BruteForce,170060.657551,0,170060.657551,170060.657551,153.333,1
hierarchical_1000.txt,1000,BruteForce,16447.137086,0,16447.137086,16447.137086,1176.45,1
hierarchical_200.txt,200,BruteForce,3580.351954,0,3580.351954,3580.351954,11.604,1
hierarchical_2000.txt,2000,BruteForce,33023.232,0,33023.232,33023.232,9470.692,1
hierarchical_25.txt,25,BruteForce,776.129928,0,776.129928,776.129928,2.787,1
hierarchical_3000.txt,3000,BruteForce,49073.660541,0,49073.660541,49073.660541,32169.315,1
hierarchical_50.txt,50,BruteForce,1188.651742,0,1188.651742,1188.651742,2.628,1
hierarchical_500.txt,500,BruteForce,8926.394302,0,8926.394302,8926.394302,147.063,1
latin_hypercube_1000.txt,1000,BruteForce,97692.317677,0,97692.317677,97692.317677,1185.926,1
latin_hypercube_200.txt,200,BruteForce,19407.494057,0,19407.494057,19407.494057,12.253,1
latin_hypercube_2000.txt,2000,BruteForce,196818.386047,0,196818.386047,196818.386047,9582.579,1
latin_hypercube_25.txt,25,BruteForce,2653.019965,0,2653.019965,2653.019965,2.905,1
latin_hypercube_3000.txt,3000,BruteForce,292220.252876,0,292220.252876,292220.252876,32068.578,1
latin_hypercube_50.txt,50,BruteForce,5446.450028,0,5446.450028,5446.450028,3.049,1
latin_hypercube_500.txt,500,BruteForce,49485.28766,0,49485.28766,49485.28766,147.215,1
line_noise_1000.txt,1000,BruteForce,2654.481583,0,2654.481583,2654.481583,1184.587,1
line_noise_200.txt,200,BruteForce,1618.75768,0,1618.75768,1618.75768,12.698,1
line_noise_2000.txt,2000,BruteForce,3683.353572,0,3683.353572,3683.353572,9463.28,1
line_noise_25.txt,25,BruteForce,936.205277,0,936.205277,936.205277,2.639,1
line_noise_3000.txt,3000,BruteForce,4780.439371,0,4780.439371,4780.439371,31991.781,1
line_noise_50.txt,50,BruteForce,1143.855211,0,1143.855211,1143.855211,2.726,1
line_noise_500.txt,500,BruteForce,2106.870794,0,2106.870794,2106.870794,147.976,1
near_convex_1000.txt,1000,BruteForce,5911.068762,0,5911.068762,5911.068762,1185.759,1
near_convex_200.txt,200,BruteForce,3964.61294,0,3964.61294,3964.61294,12.114,1
near_convex_2000.txt,2000,BruteForce,7518.266949,0,7518.266949,7518.266949,9694.757,1
near_convex_25.txt,25,BruteForce,2089.90319,0,2089.90319,2089.90319,2.676,1
near_convex_3000.txt,3000,BruteForce,9254.69733,0,9254.69733,9254.69733,32156.684,1
near_convex_50.txt,50,BruteForce,2720.439957,0,2720.439957,2720.439957,2.908,1
near_convex_500.txt,500,BruteForce,4868.878105,0,4868.878105,4868.878105,148.173,1
rings_1000.txt,1000,BruteForce,97591.407625,0,97591.407625,97591.407625,1187.257,1
rings_200.txt,200,BruteForce,19123.232829,0,19123.232829,19123.232829,12.666,1
rings_2000.txt,2000,BruteForce,197532.068177,0,197532.068177,197532.068177,9646.187,1
rings_25.txt,25,BruteForce,2763.445149,0,2763.445149,2763.445149,2.834,1
rings_3000.txt,3000,BruteForce,292470.29924,0,292470.29924,292470.29924,32346.916,1
rings_50.txt,50,BruteForce,4954.881424,0,4954.881424,4954.881424,4.27,1
rings_500.txt,500,BruteForce,50522.916994,0,50522.916994,50522.916994,147.995,1
spiral_1000.txt,1000,BruteForce,8402.139192,0,8402.139192,8402.139192,1188.806,1
spiral_200.txt,200,BruteForce,5021.722984,0,5021.722984,5021.722984,12.228,1
spiral_2000.txt,2000,BruteForce,10997.884675,0,10997.884675,10997.884675,9629.21,1
spiral_25.txt,25,BruteForce,1826.22696,0,1826.22696,1826.22696,2.758,1
spiral_3000.txt,3000,BruteForce,13211.967548,0,13211.967548,13211.967548,32327.192,1
spiral_50.txt,50,BruteForce,2885.5713,0,2885.5713,2885.5713,3.828,1
spiral_500.txt,500,BruteForce,6715.940395,0,6715.940395,6715.940395,149.976,1
zigzag_1000.txt,1000,BruteForce,42475.829685,0,42475.829685,42475.829685,1208.737,1
zigzag_200.txt,200,BruteForce,9575.371834,0,9575.371834,9575.371834,12.02,1
zigzag_2000.txt,2000,BruteForce,83298.900006,0,83298.900006,83298.900006,9557.07,1
zigzag_25.txt,25,BruteForce,1801.230907,0,1801.230907,1801.230907,2.842,1
zigzag_3000.txt,3000,BruteForce,124015.263142,0,124015.263142,124015.263142,32075.876,1
zigzag_50.txt,50,BruteForce,3095.025657,0,3095.025657,3095.025657,2.784,1
zigzag_500.txt,500,BruteForce,21960.531766,0,21960.531766,21960.531766,147.73,1
