dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,DT_CES_SA,186.496,0.0,186.496,186.496,107179.428,1,1
C_10K_I.pnt,10000,DT_CES_SA,2741300000.0,0.0,2741300000.0,2741300000.0,21.584,1,1
Ci_10K_D.pnt,10000,DT_CES_SA,25797.5,0.0,25797.5,25797.5,8229816.603,1,1
Ci_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,8.774,1,1
convex_1k.pnt,1000,DT_CES_SA,3095.88,0.0,3095.88,3095.88,2613.813,1,1
convex_200.pnt,200,DT_CES_SA,2368.31,0.0,2368.31,2368.31,433.281,1,1
convex_25.pnt,25,DT_CES_SA,1235.84,0.0,1235.84,1235.84,23.215,1,1
convex_2k.pnt,2000,DT_CES_SA,3514.22,0.0,3514.22,3514.22,6828.032,1,1
convex_3k.pnt,3000,DT_CES_SA,3710.13,0.0,3710.13,3710.13,11139.012,1,1
convex_50.pnt,50,DT_CES_SA,1704.1,0.0,1704.1,1704.1,60.351,1,1
convex_500.pnt,500,DT_CES_SA,2747.22,0.0,2747.22,2747.22,1509.421,1,1
