dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,DT_CES_SA,191.997,0.0,191.997,191.997,120507.255,1,1
C_10K_I.pnt,10000,DT_CES_SA,2788170000.0,0.0,2788170000.0,2788170000.0,23.984,1,1
Ci_10K_D.pnt,10000,DT_CES_SA,20320.9,0.0,20320.9,20320.9,1332766.815,1,1
Ci_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,5.826,1,1
convex_1k.pnt,1000,DT_CES_SA,3126.05,0.0,3126.05,3126.05,1673.89,1,1
convex_200.pnt,200,DT_CES_SA,2389.75,0.0,2389.75,2389.75,255.175,1,1
convex_25.pnt,25,DT_CES_SA,1255.99,0.0,1255.99,1255.99,17.0,1,1
convex_2k.pnt,2000,DT_CES_SA,3487.93,0.0,3487.93,3487.93,4200.788,1,1
convex_3k.pnt,3000,DT_CES_SA,3725.88,0.0,3725.88,3725.88,7283.595,1,1
convex_50.pnt,50,DT_CES_SA,1693.07,0.0,1693.07,1693.07,40.613,1,1
convex_500.pnt,500,DT_CES_SA,2768.66,0.0,2768.66,2768.66,1004.403,1,1
fractal_1k.pnt,1000,DT_CES_SA,6630.27,0.0,6630.27,6630.27,1723.706,1,1
fractal_200.pnt,200,DT_CES_SA,3515.49,0.0,3515.49,3515.49,264.518,1,1
fractal_25.pnt,25,DT_CES_SA,1374.1,0.0,1374.1,1374.1,14.656,1,1
fractal_2k.pnt,2000,DT_CES_SA,8784.31,0.0,8784.31,8784.31,4254.983,1,1
fractal_3k.pnt,3000,DT_CES_SA,10218.7,0.0,10218.7,10218.7,7313.496,1,1
fractal_50.pnt,50,DT_CES_SA,1931.02,0.0,1931.02,1931.02,48.506,1,1
fractal_500.pnt,500,DT_CES_SA,5135.29,0.0,5135.29,5135.29,732.526,1,1
gaussian_10K_D.pnt,10000,DT_CES_SA,254.653,0.0,254.653,254.653,78152.958,1,1
gaussian_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,6.022,1,1
gaussian_1k.pnt,1000,DT_CES_SA,50700.8,0.0,50700.8,50700.8,1662.567,1,1
gaussian_200.pnt,200,DT_CES_SA,21555.9,0.0,21555.9,21555.9,269.077,1,1
gaussian_25.pnt,25,DT_CES_SA,5638.33,0.0,5638.33,5638.33,19.69,1,1
gaussian_2k.pnt,2000,DT_CES_SA,72432.4,0.0,72432.4,72432.4,3932.641,1,1
gaussian_3k.pnt,3000,DT_CES_SA,89583.6,0.0,89583.6,89583.6,7402.108,1,1
gaussian_50.pnt,50,DT_CES_SA,9227.39,0.0,9227.39,9227.39,57.246,1,1
gaussian_500.pnt,500,DT_CES_SA,35165.8,0.0,35165.8,35165.8,734.665,1,1
GIS_4897_F.pnt,4897,DT_CES_SA,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
