dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,DT_CES_SA,193.43500000000003,1.0604942244067197,191.993,194.513,120230.637,3,3
C_10K_I.pnt,10000,DT_CES_SA,2761040000.0,12310637.67641628,2745810000.0,2775960000.0,20.534,3,3
Ci_10K_D.pnt,10000,DT_CES_SA,25429.5,1569.348223520409,23872.2,27577.6,2042733.473,3,3
Ci_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,5.384,3,3
convex_1k.pnt,1000,DT_CES_SA,3125.16,38.716328166119695,3070.62,3156.61,1798.333,3,3
convex_200.pnt,200,DT_CES_SA,2389.26,13.14070774349699,2374.02,2406.09,256.894,3,3
convex_25.pnt,25,DT_CES_SA,1252.0666666666666,24.409321079365466,1224.65,1283.94,14.321,3,3
convex_2k.pnt,2000,DT_CES_SA,3470.8766666666666,33.5870772106707,3429.87,3512.14,4246.243,3,3
convex_3k.pnt,3000,DT_CES_SA,3690.906666666667,15.567233394394588,3674.9,3712.0,7188.76,3,3
convex_50.pnt,50,DT_CES_SA,1653.9166666666667,13.066885202254163,1635.58,1665.07,37.611,3,3
convex_500.pnt,500,DT_CES_SA,2770.6200000000003,16.86047053515007,2749.36,2790.6,930.867,3,3
fractal_1k.pnt,1000,DT_CES_SA,6601.203333333334,5.263220391442054,6594.4,6607.22,1701.726,3,3
fractal_200.pnt,200,DT_CES_SA,3499.683333333333,22.601854397863438,3467.73,3516.37,260.467,3,3
fractal_25.pnt,25,DT_CES_SA,1376.2066666666667,10.73859498361969,1361.02,1383.8,14.502,3,3
fractal_2k.pnt,2000,DT_CES_SA,8790.963333333333,14.313304611056402,8776.45,8810.44,4123.23,3,3
fractal_3k.pnt,3000,DT_CES_SA,10229.366666666667,9.666551723454232,10216.5,10239.8,6999.857,3,3
fractal_50.pnt,50,DT_CES_SA,1945.1066666666666,1.2180403204419328,1943.49,1946.43,48.572,3,3
fractal_500.pnt,500,DT_CES_SA,5143.096666666667,19.636329143254432,5115.47,5159.35,727.666,3,3
gaussian_10K_D.pnt,10000,DT_CES_SA,254.521,0.11689596514280037,254.374,254.66,74586.825,3,3
gaussian_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,5.762,3,3
gaussian_1k.pnt,1000,DT_CES_SA,50703.53333333333,18.311441474906708,50680.5,50725.3,1624.668,3,3
gaussian_200.pnt,200,DT_CES_SA,21495.7,30.918279382914662,21459.2,21534.8,262.724,3,3
gaussian_25.pnt,25,DT_CES_SA,5649.759999999999,37.985776285341295,5596.04,5676.62,26.632,3,3
gaussian_2k.pnt,2000,DT_CES_SA,72433.90000000001,63.57562425961211,72351.6,72506.4,3928.519,3,3
gaussian_3k.pnt,3000,DT_CES_SA,89628.43333333333,63.020120243901445,89566.2,89714.8,7027.279,3,3
gaussian_50.pnt,50,DT_CES_SA,9190.343333333332,23.28742197458142,9157.68,9210.32,58.961,3,3
gaussian_500.pnt,500,DT_CES_SA,35202.333333333336,31.716697320008137,35157.7,35228.5,722.942,3,3
GIS_4897_F.pnt,4897,DT_CES_SA,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,3
