dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
hierarchical_1k.pnt,1000,DT_CES_SA,4724.5599999999995,17.073062994085255,4705.11,4750.68,1655.527,5,5
hierarchical_200.pnt,200,DT_CES_SA,2221.88,12.830429455010556,2208.41,2243.67,260.02,5,5
hierarchical_25.pnt,25,DT_CES_SA,651.7346,11.401822461343606,629.138,660.295,24.505,5,5
hierarchical_2k.pnt,2000,DT_CES_SA,6660.92,7.172199104877183,6650.76,6671.26,4050.931,5,5
hierarchical_3k.pnt,3000,DT_CES_SA,7839.481999999999,11.147059522582717,7824.49,7858.29,7100.056,5,5
hierarchical_50.pnt,50,DT_CES_SA,1213.738,3.979011937654853,1209.66,1218.61,58.822,5,5
hierarchical_500.pnt,500,DT_CES_SA,3348.3380000000006,6.133274492471385,3340.82,3356.32,746.291,5,5
latin_hypercube_1k.pnt,1000,DT_CES_SA,11380.960000000001,22.313278557845006,11355.6,11418.4,1705.611,5,5
latin_hypercube_200.pnt,200,DT_CES_SA,5174.99,8.320387010229656,5163.47,5188.71,240.937,5,5
latin_hypercube_25.pnt,25,DT_CES_SA,1569.43,1.5,1566.43,1570.18,23.218,5,5
latin_hypercube_2k.pnt,2000,DT_CES_SA,16175.560000000001,5.873533859611185,16165.9,16181.9,3892.666,5,5
latin_hypercube_3k.pnt,3000,DT_CES_SA,19773.94,11.033331319234753,19762.8,19792.2,7059.168,5,5
latin_hypercube_50.pnt,50,DT_CES_SA,2449.638,4.781733576852655,2441.02,2454.11,54.553,5,5
latin_hypercube_500.pnt,500,DT_CES_SA,8245.496,12.145625714634816,8232.19,8260.41,710.478,5,5
