dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
hierarchical_3k.pnt,3000,DT_CES_SA,7832.57,5.379634436155406,7826.24,7839.39,7230.126,3,3
hierarchical_50.pnt,50,DT_CES_SA,1216.0466666666666,1.8942779333796482,1213.37,1217.48,58.269,3,3
hierarchical_500.pnt,500,DT_CES_SA,3340.5866666666666,21.77833990204229,3312.56,3365.66,762.985,3,3
latin_hypercube_1k.pnt,1000,DT_CES_SA,11374.566666666666,11.617898069597084,11358.2,11384.0,1656.84,3,3
latin_hypercube_200.pnt,200,DT_CES_SA,5170.776666666667,5.182536916307597,5164.53,5177.22,241.279,3,3
latin_hypercube_25.pnt,25,DT_CES_SA,1567.68,1.7677669529663689,1566.43,1570.18,24.239,3,3
latin_hypercube_2k.pnt,2000,DT_CES_SA,16175.166666666666,4.878752117316548,16168.9,16180.8,3957.987,3,3
latin_hypercube_3k.pnt,3000,DT_CES_SA,19782.36666666667,9.546494411854514,19772.8,19795.4,6836.396,3,3
latin_hypercube_50.pnt,50,DT_CES_SA,2446.8933333333334,0.62189674026766,2446.02,2447.42,56.162,3,3
latin_hypercube_500.pnt,500,DT_CES_SA,8234.966666666667,6.40230340493903,8230.33,8244.02,734.058,3,3
