dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
fractal_1k.pnt,1000,DT_CES_SA,6569.07,0.0,6569.07,6569.07,1612.695,1,1
fractal_200.pnt,200,DT_CES_SA,3500.35,0.0,3500.35,3500.35,249.004,1,1
fractal_25.pnt,25,DT_CES_SA,1365.1,0.0,1365.1,1365.1,15.021,1,1
fractal_2k.pnt,2000,DT_CES_SA,8770.34,0.0,8770.34,8770.34,4094.72,1,1
fractal_3k.pnt,3000,DT_CES_SA,10243.1,0.0,10243.1,10243.1,7046.456,1,1
fractal_50.pnt,50,DT_CES_SA,1935.78,0.0,1935.78,1935.78,47.16,1,1
fractal_500.pnt,500,DT_CES_SA,5144.31,0.0,5144.31,5144.31,747.693,1,1
gaussian_10K_D.pnt,10000,DT_CES_SA,255.096,0.0,255.096,255.096,77410.809,1,1
gaussian_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,6.471,1,1
gaussian_1k.pnt,1000,DT_CES_SA,50826.4,0.0,50826.4,50826.4,1711.553,1,1
gaussian_200.pnt,200,DT_CES_SA,21539.6,0.0,21539.6,21539.6,243.765,1,1
gaussian_25.pnt,25,DT_CES_SA,5638.33,0.0,5638.33,5638.33,21.124,1,1
gaussian_2k.pnt,2000,DT_CES_SA,72404.9,0.0,72404.9,72404.9,3977.655,1,1
gaussian_3k.pnt,3000,DT_CES_SA,89639.9,0.0,89639.9,89639.9,7096.254,1,1
gaussian_50.pnt,50,DT_CES_SA,9189.9,0.0,9189.9,9189.9,54.309,1,1
gaussian_500.pnt,500,DT_CES_SA,35146.1,0.0,35146.1,35146.1,742.955,1,1
GIS_4897_F.pnt,4897,DT_CES_SA,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,5
line_noise_1k.pnt,1000,DT_CES_SA,2640.71,4.940966504642482,2636.13,2648.24,1678.264,4,4
line_noise_200.pnt,200,DT_CES_SA,1465.3025,7.174989111490025,1460.29,1477.69,269.405,4,4
line_noise_25.pnt,25,DT_CES_SA,817.635,10.364065008479988,810.32,835.343,26.366,4,4
line_noise_2k.pnt,2000,DT_CES_SA,3214.285,3.7820530139066175,3209.23,3218.57,4077.922,4,4
line_noise_3k.pnt,3000,DT_CES_SA,3835.7025,5.647793263744718,3829.67,3842.79,7295.877,4,4
line_noise_50.pnt,50,DT_CES_SA,1013.3525,3.6502011930851226,1008.37,1018.46,67.058,4,4
line_noise_500.pnt,500,DT_CES_SA,2150.9825,8.801410043282916,2139.66,2164.38,752.52,4,4
near_convex_1k.pnt,1000,DT_CES_SA,5000.93,12.2974712847806,4980.87,5011.21,1714.117,4,4
near_convex_200.pnt,200,DT_CES_SA,3079.195,16.108225383325205,3065.71,3105.8,252.094,4,4
near_convex_25.pnt,25,DT_CES_SA,1227.0175,3.2714780680908997,1223.48,1232.37,15.03,4,4
near_convex_2k.pnt,2000,DT_CES_SA,6485.865,18.633996484919773,6455.04,6503.39,4179.963,4,4
near_convex_3k.pnt,3000,DT_CES_SA,7448.09,12.713624581526675,7432.46,7466.17,7376.462,4,4
near_convex_50.pnt,50,DT_CES_SA,1809.7325,11.373900771063589,1795.29,1824.91,48.297,4,4
near_convex_500.pnt,500,DT_CES_SA,4051.755,18.66722863737416,4020.64,4069.83,718.333,4,4
rings_1k.pnt,1000,DT_CES_SA,8873.1675,11.421776076863203,8854.75,8886.04,1704.13,4,4
rings_200.pnt,200,DT_CES_SA,4346.275000000001,5.188788394220756,4338.56,4352.85,245.643,4,4
rings_25.pnt,25,DT_CES_SA,1463.05,2.0,1461.05,1465.05,19.427,4,4
rings_2k.pnt,2000,DT_CES_SA,12407.025,14.07309045661261,12382.9,12417.0,4027.083,4,4
rings_3k.pnt,3000,DT_CES_SA,14712.3,9.97872737376837,14698.1,14725.9,7534.532,4,4
rings_50.pnt,50,DT_CES_SA,2160.3900000000003,11.702437780223402,2144.19,2177.19,51.722,4,4
rings_500.pnt,500,DT_CES_SA,6609.535,13.529422567131096,6592.77,6626.29,788.911,4,4
spiral_1k.pnt,1000,DT_CES_SA,7668.34,19.432016107444984,7650.07,7701.08,1812.938,4,4
spiral_200.pnt,200,DT_CES_SA,4083.325,18.287363806738053,4060.4,4107.94,286.88,4,4
spiral_25.pnt,25,DT_CES_SA,1279.0875,0.15155444566223739,1279.0,1279.35,26.894,4,4
spiral_2k.pnt,2000,DT_CES_SA,10277.675,20.33117987230465,10256.3,10305.0,4114.569,4,4
spiral_3k.pnt,3000,DT_CES_SA,11945.575,39.46519827645668,11883.8,11984.7,7329.362,4,4
spiral_50.pnt,50,DT_CES_SA,1820.4225000000001,5.556434895686275,1815.43,1829.4,55.5,4,4
spiral_500.pnt,500,DT_CES_SA,6104.11,13.69335057610076,6084.25,6121.41,867.155,4,4
U_10K_D.pnt,10000,DT_CES_SA,352.231,0.1358160520704368,352.023,352.403,68377.34,4,4
U_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,5.64,4,4
zigzag_1k.pnt,1000,DT_CES_SA,5462.295,50.15522928867944,5384.7,5508.3,1858.884,4,4
zigzag_200.pnt,200,DT_CES_SA,3672.2375,37.409517087901605,3625.83,3729.77,368.139,4,4
zigzag_25.pnt,25,DT_CES_SA,1708.395,12.141098591148927,1696.94,1728.84,31.648,4,4
zigzag_2k.pnt,2000,DT_CES_SA,6764.08,33.532830927316546,6721.15,6797.66,4388.094,4,4
zigzag_3k.pnt,3000,DT_CES_SA,7619.68,43.18913810207371,7567.72,7673.75,7451.709,4,4
zigzag_50.pnt,50,DT_CES_SA,2292.9,36.84587154621251,2232.67,2325.24,99.402,4,4
zigzag_500.pnt,500,DT_CES_SA,4547.889999999999,25.747235773962554,4530.65,4592.27,952.041,4,4
