dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
GIS_4897_F.pnt,4897,DT_CES_SA,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,3
line_noise_1k.pnt,1000,DT_CES_SA,2650.3199999999997,0.3500000000001364,2649.97,2650.67,1683.289,2,2
line_noise_200.pnt,200,DT_CES_SA,1473.2849999999999,7.675000000000068,1465.61,1480.96,280.374,2,2
line_noise_25.pnt,25,DT_CES_SA,814.4825000000001,0.025500000000022283,814.457,814.508,29.955,2,2
line_noise_2k.pnt,2000,DT_CES_SA,3213.79,2.7200000000000273,3211.07,3216.51,4091.208,2,2
line_noise_3k.pnt,3000,DT_CES_SA,3843.45,0.7300000000000182,3842.72,3844.18,7120.854,2,2
line_noise_50.pnt,50,DT_CES_SA,1016.25,2.0299999999999727,1014.22,1018.28,68.005,2,2
line_noise_500.pnt,500,DT_CES_SA,2147.69,12.650000000000091,2135.04,2160.34,762.843,2,2
near_convex_1k.pnt,1000,DT_CES_SA,5004.610000000001,10.299999999999727,4994.31,5014.91,1659.18,2,2
near_convex_200.pnt,200,DT_CES_SA,3094.7349999999997,14.2349999999999,3080.5,3108.97,242.894,2,2
near_convex_25.pnt,25,DT_CES_SA,1224.815,1.05499999999995,1223.76,1225.87,14.615,2,2
near_convex_2k.pnt,2000,DT_CES_SA,6487.4349999999995,21.03500000000031,6466.4,6508.47,4011.385,2,2
near_convex_3k.pnt,3000,DT_CES_SA,7452.52,1.4299999999998363,7451.09,7453.95,7430.239,2,2
near_convex_50.pnt,50,DT_CES_SA,1807.4299999999998,8.07000000000005,1799.36,1815.5,57.383,2,2
near_convex_500.pnt,500,DT_CES_SA,4059.805,10.315000000000055,4049.49,4070.12,718.431,2,2
rings_1k.pnt,1000,DT_CES_SA,8853.89,0.7200000000002548,8853.17,8854.61,1689.467,2,2
rings_200.pnt,200,DT_CES_SA,4350.620000000001,16.09999999999991,4334.52,4366.72,239.016,2,2
rings_25.pnt,25,DT_CES_SA,1461.08,0.0,1461.08,1461.08,19.308,2,2
rings_2k.pnt,2000,DT_CES_SA,12428.5,12.5,12416.0,12441.0,3942.315,2,2
rings_3k.pnt,3000,DT_CES_SA,14675.0,8.100000000000364,14666.9,14683.1,7095.291,2,2
rings_50.pnt,50,DT_CES_SA,2173.5249999999996,11.464999999999918,2162.06,2184.99,51.219,2,2
rings_500.pnt,500,DT_CES_SA,6605.455,12.734999999999673,6592.72,6618.19,750.025,2,2
spiral_1k.pnt,1000,DT_CES_SA,7681.700000000001,25.570000000000164,7656.13,7707.27,1794.801,2,2
spiral_200.pnt,200,DT_CES_SA,4085.3199999999997,11.589999999999918,4073.73,4096.91,303.639,2,2
spiral_25.pnt,25,DT_CES_SA,1279.0,0.0,1279.0,1279.0,28.791,2,2
spiral_2k.pnt,2000,DT_CES_SA,10313.2,40.0,10273.2,10353.2,4234.791,2,2
spiral_3k.pnt,3000,DT_CES_SA,11952.1,2.100000000000364,11950.0,11954.2,7561.623,2,2
spiral_50.pnt,50,DT_CES_SA,1825.4,4.0,1821.4,1829.4,62.157,2,2
spiral_500.pnt,500,DT_CES_SA,6130.32,10.019999999999982,6120.3,6140.34,902.946,2,2
U_10K_D.pnt,10000,DT_CES_SA,352.21299999999997,0.0730000000000075,352.14,352.286,69716.036,2,2
U_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,6.34,2,2
zigzag_1k.pnt,1000,DT_CES_SA,5442.22,32.42000000000007,5409.8,5474.64,1888.267,2,2
zigzag_200.pnt,200,DT_CES_SA,3641.92,36.74000000000001,3605.18,3678.66,356.995,2,2
zigzag_25.pnt,25,DT_CES_SA,1688.6100000000001,8.330000000000041,1680.28,1696.94,26.386,2,2
zigzag_2k.pnt,2000,DT_CES_SA,6737.38,26.699999999999818,6710.68,6764.08,4279.041,2,2
zigzag_3k.pnt,3000,DT_CES_SA,7767.99,1.7199999999998,7766.27,7769.71,7418.162,2,2
zigzag_50.pnt,50,DT_CES_SA,2201.215,30.904999999999973,2170.31,2232.12,82.119,2,2
zigzag_500.pnt,500,DT_CES_SA,4528.41,24.639999999999873,4503.77,4553.05,934.404,2,2
