dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,DT_ONLY,192.572,0.0,192.572,192.572,449.766,1,1
C_10K_I.pnt,10000,DT_ONLY,2816630000.0,0.0,2816630000.0,2816630000.0,7.575,1,1
Ci_10K_D.pnt,10000,DT_ONLY,26716.2,0.0,26716.2,26716.2,5644.454,1,1
Ci_10K_I.pnt,10000,DT_ONLY,0.0,0.0,0.0,0.0,6.21,1,1
convex_1k.pnt,1000,DT_ONLY,3275.97,0.0,3275.97,3275.97,5.689,1,1
convex_200.pnt,200,DT_ONLY,2455.03,0.0,2455.03,2455.03,2.669,1,1
convex_25.pnt,25,DT_ONLY,1246.68,0.0,1246.68,1246.68,2.222,1,1
convex_2k.pnt,2000,DT_ONLY,3558.91,0.0,3558.91,3558.91,12.285,1,1
convex_3k.pnt,3000,DT_ONLY,3864.32,0.0,3864.32,3864.32,23.682,1,1
convex_50.pnt,50,DT_ONLY,1709.54,0.0,1709.54,1709.54,3.402,1,1
convex_500.pnt,500,DT_ONLY,2855.78,0.0,2855.78,2855.78,4.284,1,1
EM_46625_F.pnt,46625,DT_ONLY,243905.0,0.0,243905.0,243905.0,15625.652,1,1
EM_46625_F.pnt,46625,DT_ONLY,244019.0,0.0,244019.0,244019.0,15877.066,1,1
fractal_1k.pnt,1000,DT_ONLY,6761.85,0.0,6761.85,6761.85,7.269,1,1
fractal_200.pnt,200,DT_ONLY,3576.26,0.0,3576.26,3576.26,3.086,1,1
fractal_25.pnt,25,DT_ONLY,1402.04,0.0,1402.04,1402.04,2.46,1,1
fractal_2k.pnt,2000,DT_ONLY,9043.43,0.0,9043.43,9043.43,16.885,1,1
fractal_3k.pnt,3000,DT_ONLY,10472.9,0.0,10472.9,10472.9,33.823,1,1
fractal_50.pnt,50,DT_ONLY,1977.46,0.0,1977.46,1977.46,3.02,1,1
fractal_500.pnt,500,DT_ONLY,5290.02,0.0,5290.02,5290.02,4.041,1,1
gaussian_10K_D.pnt,10000,DT_ONLY,259.167,0.0,259.167,259.167,578.883,1,1
gaussian_10K_I.pnt,10000,DT_ONLY,0.0,0.0,0.0,0.0,6.69,1,1
gaussian_1k.pnt,1000,DT_ONLY,51295.7,0.0,51295.7,51295.7,8.434,1,1
gaussian_200.pnt,200,DT_ONLY,21705.1,0.0,21705.1,21705.1,3.258,1,1
gaussian_25.pnt,25,DT_ONLY,5718.9,0.0,5718.9,5718.9,2.904,1,1
gaussian_2k.pnt,2000,DT_ONLY,73206.0,0.0,73206.0,73206.0,21.939,1,1
gaussian_3k.pnt,3000,DT_ONLY,90729.8,0.0,90729.8,90729.8,44.165,1,1
gaussian_50.pnt,50,DT_ONLY,9272.19,0.0,9272.19,9272.19,3.114,1,1
gaussian_500.pnt,500,DT_ONLY,35585.2,0.0,35585.2,35585.2,4.403,1,1
GIS_4897_F.pnt,4897,DT_ONLY,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
grid_10K_D.pnt,10000,DT_ONLY,423.761,0.0,423.761,423.761,496.868,1,1
grid_10K_I.pnt,10000,DT_ONLY,145187000.0,0.0,145187000.0,145187000.0,7.028,1,1
hierarchical_1k.pnt,1000,DT_ONLY,4798.35,0.0,4798.35,4798.35,8.277,1,1
hierarchical_200.pnt,200,DT_ONLY,2269.29,0.0,2269.29,2269.29,3.176,1,1
hierarchical_25.pnt,25,DT_ONLY,662.412,0.0,662.412,662.412,2.849,1,1
hierarchical_2k.pnt,2000,DT_ONLY,6753.79,0.0,6753.79,6753.79,19.763,1,1
hierarchical_3k.pnt,3000,DT_ONLY,7954.21,0.0,7954.21,7954.21,37.877,1,1
hierarchical_50.pnt,50,DT_ONLY,1226.92,0.0,1226.92,1226.92,3.383,1,1
hierarchical_500.pnt,500,DT_ONLY,3410.41,0.0,3410.41,3410.41,4.055,1,1
latin_hypercube_1k.pnt,1000,DT_ONLY,11510.5,0.0,11510.5,11510.5,7.857,1,1
latin_hypercube_200.pnt,200,DT_ONLY,5210.26,0.0,5210.26,5210.26,2.963,1,1
latin_hypercube_25.pnt,25,DT_ONLY,1570.18,0.0,1570.18,1570.18,2.48,1,1
