dataset,size,algorithm,mean,stddev,min,max,runtime_ms,runs
convex_1000.txt,1000,MST_Polygonisation,11179.5,0,11179.5,11179.5,11185.342,1
convex_200.txt,200,MST_Polygonisation,35.0013,0,35.0013,35.0013,38.011,1
convex_25.txt,25,MST_Polygonisation,0.254333,0,0.254333,0.254333,3.239,1
convex_50.txt,50,MST_Polygonisation,1.72642,0,1.72642,1.72642,6.498,1
convex_500.txt,500,MST_Polygonisation,1359.23,0,1359.23,1359.23,1362.395,1
fractal_1000.txt,1000,MST_Polygonisation,46.1123,0,46.1123,46.1123,50.702,1
fractal_200.txt,200,MST_Polygonisation,15.5964,0,15.5964,15.5964,18.325,1
fractal_25.txt,25,MST_Polygonisation,0.09,0,0.09,0.09,3.724,1
fractal_50.txt,50,MST_Polygonisation,0.396125,0,0.396125,0.396125,3.756,1
fractal_500.txt,500,MST_Polygonisation,1660.63,0,1660.63,1660.63,1663.501,1
gaussian_200.txt,200,MST_Polygonisation,32.9,0,32.9,32.9,36.543,1
gaussian_2000.txt,2000,MST_Polygonisation,40784.4,0,40784.4,40784.4,40792.944,1
gaussian_25.txt,25,MST_Polygonisation,0.1135,0,0.1135,0.1135,3.109,1
gaussian_50.txt,50,MST_Polygonisation,5.44146,0,5.44146,5.44146,9.694,1
gaussian_500.txt,500,MST_Polygonisation,490.236,0,490.236,490.236,493.409,1
hierarchical_1000.txt,1000,MST_Polygonisation,3760.01,0,3760.01,3760.01,3764.347,1
hierarchical_200.txt,200,MST_Polygonisation,20.5141,0,20.5141,20.5141,23.654,1
hierarchical_25.txt,25,MST_Polygonisation,0.0825,0,0.0825,0.0825,3.362,1
hierarchical_50.txt,50,MST_Polygonisation,0.148292,0,0.148292,0.148292,3.512,1
hierarchical_500.txt,500,MST_Polygonisation,54.4898,0,54.4898,54.4898,57.218,1
latin_hypercube_1000.txt,1000,MST_Polygonisation,3441.39,0,3441.39,3441.39,3446.709,1
latin_hypercube_200.txt,200,MST_Polygonisation,31.4433,0,31.4433,31.4433,34.487,1
latin_hypercube_2000.txt,2000,MST_Polygonisation,2234.05,0,2234.05,2234.05,2239.803,1
latin_hypercube_25.txt,25,MST_Polygonisation,0.15,0,0.15,0.15,3.125,1
latin_hypercube_50.txt,50,MST_Polygonisation,0.470417,0,0.470417,0.470417,4.073,1
latin_hypercube_500.txt,500,MST_Polygonisation,366.228,0,366.228,366.228,369.09,1
line_noise_1000.txt,1000,MST_Polygonisation,6819.31,0,6819.31,6819.31,6824.041,1
line_noise_200.txt,200,MST_Polygonisation,0.920958,0,0.920958,0.920958,3.715,1
line_noise_25.txt,25,MST_Polygonisation,0.663834,0,0.663834,0.663834,4.037,1
line_noise_50.txt,50,MST_Polygonisation,0.19325,0,0.19325,0.19325,4.015,1
line_noise_500.txt,500,MST_Polygonisation,158.836,0,158.836,158.836,161.516,1
near_convex_1000.txt,1000,MST_Polygonisation,30.0772,0,30.0772,30.0772,34.365,1
near_convex_2000.txt,2000,MST_Polygonisation,145.29,0,145.29,145.29,150.212,1
near_convex_25.txt,25,MST_Polygonisation,0.252167,0,0.252167,0.252167,3.178,1
near_convex_500.txt,500,MST_Polygonisation,7.31371,0,7.31371,7.31371,9.834,1
rings_1000.txt,1000,MST_Polygonisation,35.9889,0,35.9889,35.9889,40.008,1
rings_200.txt,200,MST_Polygonisation,83.9825,0,83.9825,83.9825,87.27,1
rings_25.txt,25,MST_Polygonisation,0.798292,0,0.798292,0.798292,4.384,1
rings_50.txt,50,MST_Polygonisation,0.498875,0,0.498875,0.498875,4.222,1
rings_500.txt,500,MST_Polygonisation,9710.13,0,9710.13,9710.13,9713.697,1
spiral_200.txt,200,MST_Polygonisation,67.8813,0,67.8813,67.8813,71.117,1
spiral_25.txt,25,MST_Polygonisation,0.458667,0,0.458667,0.458667,3.273,1
spiral_50.txt,50,MST_Polygonisation,0.159166,0,0.159166,0.159166,3.815,1
spiral_500.txt,500,MST_Polygonisation,6.66704,0,6.66704,6.66704,9.329,1
zigzag_1000.txt,1000,MST_Polygonisation,15241.2,0,15241.2,15241.2,15244.922,1
zigzag_200.txt,200,MST_Polygonisation,2.78192,0,2.78192,2.78192,6.297,1
zigzag_2000.txt,2000,MST_Polygonisation,37230.2,0,37230.2,37230.2,37236.436,1
zigzag_25.txt,25,MST_Polygonisation,0.700209,0,0.700209,0.700209,3.524,1
zigzag_3000.txt,3000,MST_Polygonisation,9893.83,0,9893.83,9893.83,9901.979,1
zigzag_50.txt,50,MST_Polygonisation,1.22063,0,1.22063,1.22063,4.379,1
zigzag_500.txt,500,MST_Polygonisation,2042.87,0,2042.87,2042.87,2045.599,1
