dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
C_10K_I.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
Ci_10K_D.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
Ci_10K_I.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
convex_1k.pnt,1000,MST_Polygonisation,2877.5,0.0,2877.5,2877.5,37829.293,1,1
convex_200.pnt,200,MST_Polygonisation,2149.78,0.0,2149.78,2149.78,63.974,1,1
convex_25.pnt,25,MST_Polygonisation,2270.65,0.0,2270.65,2270.65,3.057,1,1
convex_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
convex_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
convex_50.pnt,50,MST_Polygonisation,1621.33,0.0,1621.33,1621.33,3.613,1,1
convex_500.pnt,500,MST_Polygonisation,2563.34,0.0,2563.34,2563.34,2147.155,1,1
fractal_1k.pnt,1000,MST_Polygonisation,7057.44,0.0,7057.44,7057.44,1268.935,1,1
fractal_200.pnt,200,MST_Polygonisation,2366.79,0.0,2366.79,2366.79,74.716,1,1
fractal_25.pnt,25,MST_Polygonisation,773.741,0.0,773.741,773.741,2.494,1,1
fractal_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
fractal_3k.pnt,3000,MST_Polygonisation,13708.8,0.0,13708.8,13708.8,3635.179,1,1
fractal_50.pnt,50,MST_Polygonisation,2864.53,0.0,2864.53,2864.53,3.522,1,1
fractal_500.pnt,500,MST_Polygonisation,5422.79,0.0,5422.79,5422.79,8810.605,1,1
gaussian_10K_D.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
gaussian_10K_I.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
gaussian_1k.pnt,1000,MST_Polygonisation,86795.6,0.0,86795.6,86795.6,24976.803,1,1
gaussian_200.pnt,200,MST_Polygonisation,26387.9,0.0,26387.9,26387.9,74.152,1,1
gaussian_25.pnt,25,MST_Polygonisation,5678.25,0.0,5678.25,5678.25,2.72,1,1
gaussian_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
gaussian_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
gaussian_50.pnt,50,MST_Polygonisation,6846.44,0.0,6846.44,6846.44,3.023,1,1
gaussian_500.pnt,500,MST_Polygonisation,53510.1,0.0,53510.1,53510.1,6533.052,1,1
GIS_4897_F.pnt,4897,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
grid_10K_D.pnt,10000,MST_Polygonisation,783.943,0.0,783.943,783.943,16668.485,1,1
grid_10K_I.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
hierarchical_1k.pnt,1000,MST_Polygonisation,6615.41,0.0,6615.41,6615.41,28246.981,1,1
hierarchical_200.pnt,200,MST_Polygonisation,2476.53,0.0,2476.53,2476.53,15.32,1,1
hierarchical_25.pnt,25,MST_Polygonisation,652.113,0.0,652.113,652.113,3.579,1,1
hierarchical_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
hierarchical_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
hierarchical_50.pnt,50,MST_Polygonisation,1264.22,0.0,1264.22,1264.22,5.466,1,1
hierarchical_500.pnt,500,MST_Polygonisation,4247.03,0.0,4247.03,4247.03,1357.533,1,1
latin_hypercube_1k.pnt,1000,MST_Polygonisation,17134.3,0.0,17134.3,17134.3,2271.24,1,1
latin_hypercube_200.pnt,200,MST_Polygonisation,6269.22,0.0,6269.22,6269.22,66.804,1,1
latin_hypercube_25.pnt,25,MST_Polygonisation,1526.24,0.0,1526.24,1526.24,2.798,1,1
latin_hypercube_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
latin_hypercube_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
latin_hypercube_50.pnt,50,MST_Polygonisation,2368.79,0.0,2368.79,2368.79,3.173,1,1
latin_hypercube_500.pnt,500,MST_Polygonisation,11094.0,0.0,11094.0,11094.0,2606.231,1,1
line_10K_D.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
line_10K_I.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
line_noise_1k.pnt,1000,MST_Polygonisation,4015.74,0.0,4015.74,4015.74,5733.73,1,1
line_noise_200.pnt,200,MST_Polygonisation,1427.84,0.0,1427.84,1427.84,159.108,1,1
line_noise_25.pnt,25,MST_Polygonisation,790.055,0.0,790.055,790.055,2.965,1,1
line_noise_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
line_noise_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
line_noise_50.pnt,50,MST_Polygonisation,1016.46,0.0,1016.46,1016.46,3.442,1,1
line_noise_500.pnt,500,MST_Polygonisation,2078.35,0.0,2078.35,2078.35,6561.446,1,1
near_convex_1k.pnt,1000,MST_Polygonisation,5085.47,0.0,5085.47,5085.47,38942.355,1,1
near_convex_200.pnt,200,MST_Polygonisation,1865.28,0.0,1865.28,1865.28,46.747,1,1
near_convex_25.pnt,25,MST_Polygonisation,1307.49,0.0,1307.49,1307.49,2.727,1,1
near_convex_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
near_convex_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
near_convex_50.pnt,50,MST_Polygonisation,1856.18,0.0,1856.18,1856.18,3.324,1,1
near_convex_500.pnt,500,MST_Polygonisation,4820.03,0.0,4820.03,4820.03,7954.503,1,1
rings_1k.pnt,1000,MST_Polygonisation,11382.3,0.0,11382.3,11382.3,6015.29,1,1
rings_200.pnt,200,MST_Polygonisation,5078.13,0.0,5078.13,5078.13,13.011,1,1
rings_25.pnt,25,MST_Polygonisation,1696.87,0.0,1696.87,1696.87,2.7,1,1
rings_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
rings_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
rings_50.pnt,50,MST_Polygonisation,2021.02,0.0,2021.02,2021.02,3.286,1,1
rings_500.pnt,500,MST_Polygonisation,7015.96,0.0,7015.96,7015.96,1144.364,1,1
spiral_1k.pnt,1000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
spiral_200.pnt,200,MST_Polygonisation,3395.12,0.0,3395.12,3395.12,66.828,1,1
spiral_25.pnt,25,MST_Polygonisation,999.918,0.0,999.918,999.918,2.619,1,1
spiral_2k.pnt,2000,MST_Polygonisation,16942.8,0.0,16942.8,16942.8,4706.928,1,1
spiral_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
spiral_50.pnt,50,MST_Polygonisation,1814.86,0.0,1814.86,1814.86,4.835,1,1
spiral_500.pnt,500,MST_Polygonisation,5601.27,0.0,5601.27,5601.27,4444.79,1,1
U_10K_D.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
U_10K_I.pnt,10000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
zigzag_1k.pnt,1000,MST_Polygonisation,7237.15,0.0,7237.15,7237.15,7893.141,1,1
zigzag_200.pnt,200,MST_Polygonisation,2714.2,0.0,2714.2,2714.2,36.04,1,1
zigzag_25.pnt,25,MST_Polygonisation,1354.59,0.0,1354.59,1354.59,2.729,1,1
zigzag_2k.pnt,2000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
zigzag_3k.pnt,3000,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
zigzag_50.pnt,50,MST_Polygonisation,1433.23,0.0,1433.23,1433.23,2.897,1,1
zigzag_500.pnt,500,MST_Polygonisation,3993.1,0.0,3993.1,3993.1,1333.582,1,1
