dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
gaussian_2k.pnt,2000,MST_Polygonisation,186565.0,0.0,186565.0,186565.0,1533.898,1,1
gaussian_3k.pnt,3000,MST_Polygonisation,263187.0,0.0,263187.0,263187.0,7959.806,1,1
GIS_4897_F.pnt,4897,MST_Polygonisation,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
hierarchical_2k.pnt,2000,MST_Polygonisation,11200.5,0.0,11200.5,11200.5,1447.843,1,1
hierarchical_3k.pnt,3000,MST_Polygonisation,14390.1,0.0,14390.1,14390.1,4357.254,1,1
latin_hypercube_2k.pnt,2000,MST_Polygonisation,27689.5,0.0,27689.5,27689.5,831.856,1,1
latin_hypercube_3k.pnt,3000,MST_Polygonisation,42444.3,0.0,42444.3,42444.3,4871.602,1,1
line_noise_2k.pnt,2000,MST_Polygonisation,7120.56,0.0,7120.56,7120.56,4558.997,1,1
line_noise_3k.pnt,3000,MST_Polygonisation,9468.78,0.0,9468.78,9468.78,6570.952,1,1
near_convex_2k.pnt,2000,MST_Polygonisation,5415.35,0.0,5415.35,5415.35,1632.266,1,1
near_convex_3k.pnt,3000,MST_Polygonisation,6880.05,0.0,6880.05,6880.05,1044.419,1,1
spiral_1k.pnt,1000,MST_Polygonisation,10473.6,0.0,10473.6,10473.6,834.295,1,1
spiral_3k.pnt,3000,MST_Polygonisation,25423.9,0.0,25423.9,25423.9,1984.745,1,1
U_10K_D.pnt,10000,MST_Polygonisation,1048.24,0.0,1048.24,1048.24,53103.951,1,1
U_10K_I.pnt,10000,MST_Polygonisation,4857380000000.0,0.0,4857380000000.0,4857380000000.0,130105.797,1,1
zigzag_2k.pnt,2000,MST_Polygonisation,14174.7,0.0,14174.7,14174.7,3690.821,1,1
zigzag_3k.pnt,3000,MST_Polygonisation,19335.7,0.0,19335.7,19335.7,11922.812,1,1
