dataset,size,algorithm,mean,stddev,min,max,runtime_ms,runs
convex_1000.txt,1000,distanceOrderedGreedy,63975.5,0,63975.5,63975.5,284.528,1
convex_200.txt,200,distanceOrderedGreedy,13043.1,0,13043.1,13043.1,2.777,1
convex_2000.txt,2000,distanceOrderedGreedy,127638.0,0,127638.0,127638.0,3.572,1
convex_25.txt,25,distanceOrderedGreedy,1877.72,0,1877.72,1877.72,2.074,1
convex_3000.txt,3000,distanceOrderedGreedy,191300.0,0,191300.0,191300.0,4.678,1
convex_50.txt,50,distanceOrderedGreedy,3483.45,0,3483.45,3483.45,2.165,1
convex_500.txt,500,distanceOrderedGreedy,32143.8,0,32143.8,32143.8,2.961,1
fractal_1000.txt,1000,distanceOrderedGreedy,22442.7,0,22442.7,22442.7,13.875,1
fractal_200.txt,200,distanceOrderedGreedy,8621.0,0,8621.0,8621.0,2.632,1
fractal_2000.txt,2000,distanceOrderedGreedy,36016.5,0,36016.5,36016.5,51.371,1
fractal_25.txt,25,distanceOrderedGreedy,1926.08,0,1926.08,1926.08,2.797,1
fractal_3000.txt,3000,distanceOrderedGreedy,49924.9,0,49924.9,49924.9,109.01,1
fractal_50.txt,50,distanceOrderedGreedy,3515.73,0,3515.73,3515.73,2.292,1
fractal_500.txt,500,distanceOrderedGreedy,14680.5,0,14680.5,14680.5,5.025,1
gaussian_1000.txt,1000,distanceOrderedGreedy,321788.0,0,321788.0,321788.0,15.832,1
gaussian_200.txt,200,distanceOrderedGreedy,60698.9,0,60698.9,60698.9,3.103,1
gaussian_2000.txt,2000,distanceOrderedGreedy,701022.0,0,701022.0,701022.0,56.549,1
gaussian_25.txt,25,distanceOrderedGreedy,6454.48,0,6454.48,6454.48,2.771,1
gaussian_3000.txt,3000,distanceOrderedGreedy,906582.0,0,906582.0,906582.0,122.865,1
gaussian_50.txt,50,distanceOrderedGreedy,16887.9,0,16887.9,16887.9,2.451,1
gaussian_500.txt,500,distanceOrderedGreedy,172017.0,0,172017.0,172017.0,5.735,1
hierarchical_1000.txt,1000,distanceOrderedGreedy,26299.4,0,26299.4,26299.4,16.691,1
hierarchical_200.txt,200,distanceOrderedGreedy,5795.17,0,5795.17,5795.17,2.878,1
hierarchical_2000.txt,2000,distanceOrderedGreedy,46609.5,0,46609.5,46609.5,60.348,1
hierarchical_25.txt,25,distanceOrderedGreedy,1153.48,0,1153.48,1153.48,2.397,1
hierarchical_3000.txt,3000,distanceOrderedGreedy,72591.3,0,72591.3,72591.3,130.872,1
hierarchical_50.txt,50,distanceOrderedGreedy,1870.35,0,1870.35,1870.35,2.462,1
hierarchical_500.txt,500,distanceOrderedGreedy,13427.6,0,13427.6,13427.6,5.887,1
latin_hypercube_1000.txt,1000,distanceOrderedGreedy,52440.6,0,52440.6,52440.6,16.185,1
latin_hypercube_200.txt,200,distanceOrderedGreedy,11341.5,0,11341.5,11341.5,3.195,1
latin_hypercube_2000.txt,2000,distanceOrderedGreedy,95963.5,0,95963.5,95963.5,57.481,1
latin_hypercube_25.txt,25,distanceOrderedGreedy,1990.97,0,1990.97,1990.97,2.613,1
latin_hypercube_3000.txt,3000,distanceOrderedGreedy,146849.0,0,146849.0,146849.0,124.578,1
latin_hypercube_50.txt,50,distanceOrderedGreedy,3298.37,0,3298.37,3298.37,2.558,1
latin_hypercube_500.txt,500,distanceOrderedGreedy,26619.2,0,26619.2,26619.2,6.079,1
line_noise_1000.txt,1000,distanceOrderedGreedy,36996.5,0,36996.5,36996.5,17.245,1
line_noise_200.txt,200,distanceOrderedGreedy,8619.6,0,8619.6,8619.6,2.972,1
line_noise_2000.txt,2000,distanceOrderedGreedy,72262.7,0,72262.7,72262.7,60.092,1
line_noise_25.txt,25,distanceOrderedGreedy,1384.57,0,1384.57,1384.57,2.397,1
line_noise_3000.txt,3000,distanceOrderedGreedy,104498.0,0,104498.0,104498.0,134.309,1
line_noise_50.txt,50,distanceOrderedGreedy,2225.8,0,2225.8,2225.8,2.705,1
line_noise_500.txt,500,distanceOrderedGreedy,19692.5,0,19692.5,19692.5,6.079,1
near_convex_1000.txt,1000,distanceOrderedGreedy,25138.1,0,25138.1,25138.1,13.618,1
near_convex_200.txt,200,distanceOrderedGreedy,9785.62,0,9785.62,9785.62,3.08,1
near_convex_2000.txt,2000,distanceOrderedGreedy,33041.8,0,33041.8,33041.8,48.734,1
near_convex_25.txt,25,distanceOrderedGreedy,1877.67,0,1877.67,1877.67,2.461,1
near_convex_3000.txt,3000,distanceOrderedGreedy,40507.3,0,40507.3,40507.3,103.565,1
near_convex_50.txt,50,distanceOrderedGreedy,3639.0,0,3639.0,3639.0,2.63,1
near_convex_500.txt,500,distanceOrderedGreedy,17065.3,0,17065.3,17065.3,5.092,1
rings_1000.txt,1000,distanceOrderedGreedy,31581.3,0,31581.3,31581.3,16.029,1
rings_200.txt,200,distanceOrderedGreedy,9023.0,0,9023.0,9023.0,3.034,1
rings_2000.txt,2000,distanceOrderedGreedy,55419.4,0,55419.4,55419.4,56.873,1
rings_25.txt,25,distanceOrderedGreedy,1775.54,0,1775.54,1775.54,2.716,1
rings_3000.txt,3000,distanceOrderedGreedy,77898.5,0,77898.5,77898.5,124.027,1
rings_50.txt,50,distanceOrderedGreedy,3132.52,0,3132.52,3132.52,2.993,1
rings_500.txt,500,distanceOrderedGreedy,17478.6,0,17478.6,17478.6,5.517,1
spiral_1000.txt,1000,distanceOrderedGreedy,34432.5,0,34432.5,34432.5,18.302,1
spiral_200.txt,200,distanceOrderedGreedy,9641.07,0,9641.07,9641.07,3.139,1
spiral_2000.txt,2000,distanceOrderedGreedy,62675.8,0,62675.8,62675.8,62.862,1
spiral_25.txt,25,distanceOrderedGreedy,1649.39,0,1649.39,1649.39,2.728,1
spiral_3000.txt,3000,distanceOrderedGreedy,89252.4,0,89252.4,89252.4,140.068,1
