dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_100K_D.pnt,100000,distanceOrderedGreedy,23487.6,0.0,23487.6,23487.6,14901.719,1,1
C_100K_I.pnt,100000,distanceOrderedGreedy,191206000000000.0,0.0,191206000000000.0,191206000000000.0,13771.138,1,1
C_10K_D.pnt,10000,distanceOrderedGreedy,2481.91,0.0,2481.91,2481.91,136.538,1,1
C_10K_I.pnt,10000,distanceOrderedGreedy,15356700000000.0,0.0,15356700000000.0,15356700000000.0,121.543,1,1
Ci_100K_D.pnt,100000,distanceOrderedGreedy,54430.4,0.0,54430.4,54430.4,64.594,1,1
Ci_100K_I.pnt,100000,distanceOrderedGreedy,168022000000000.0,0.0,168022000000000.0,168022000000000.0,54.353,1,1
Ci_10K_D.pnt,10000,distanceOrderedGreedy,5445.46,0.0,5445.46,5445.46,23.773,1,1
Ci_10K_I.pnt,10000,distanceOrderedGreedy,16809700000000.0,0.0,16809700000000.0,16809700000000.0,19.467,1,1
convex_1k.pnt,1000,distanceOrderedGreedy,63975.5,0.0,63975.5,63975.5,5.674,1,1
convex_200.pnt,200,distanceOrderedGreedy,13043.1,0.0,13043.1,13043.1,4.78,1,1
convex_25.pnt,25,distanceOrderedGreedy,1877.72,0.0,1877.72,1877.72,3.184,1,1
convex_2k.pnt,2000,distanceOrderedGreedy,127638.0,0.0,127638.0,127638.0,5.636,1,1
convex_3k.pnt,3000,distanceOrderedGreedy,191300.0,0.0,191300.0,191300.0,9.251,1,1
convex_50.pnt,50,distanceOrderedGreedy,3483.45,0.0,3483.45,3483.45,3.244,1,1
convex_500.pnt,500,distanceOrderedGreedy,32143.8,0.0,32143.8,32143.8,2.678,1,1
EM_46625_F.pnt,46625,distanceOrderedGreedy,7200330.0,0.0,7200330.0,7200330.0,2469.306,1,1
EM_46625_F.pnt,46625,distanceOrderedGreedy,7200330.0,0.0,7200330.0,7200330.0,2494.946,1,1
fractal_1k.pnt,1000,distanceOrderedGreedy,22998.9,0.0,22998.9,22998.9,10.244,1,1
fractal_200.pnt,200,distanceOrderedGreedy,8691.95,0.0,8691.95,8691.95,2.811,1,1
fractal_25.pnt,25,distanceOrderedGreedy,1970.87,0.0,1970.87,1970.87,3.618,1,1
fractal_2k.pnt,2000,distanceOrderedGreedy,37897.5,0.0,37897.5,37897.5,8.926,1,1
fractal_3k.pnt,3000,distanceOrderedGreedy,51777.4,0.0,51777.4,51777.4,24.449,1,1
fractal_50.pnt,50,distanceOrderedGreedy,3470.51,0.0,3470.51,3470.51,3.402,1,1
fractal_500.pnt,500,distanceOrderedGreedy,14823.3,0.0,14823.3,14823.3,4.077,1,1
gaussian_100K_D.pnt,100000,distanceOrderedGreedy,55636.6,0.0,55636.6,55636.6,12885.908,1,1
gaussian_100K_I.pnt,100000,distanceOrderedGreedy,233010000000000.0,0.0,233010000000000.0,233010000000000.0,13030.942,1,1
gaussian_10K_D.pnt,10000,distanceOrderedGreedy,4995.15,0.0,4995.15,4995.15,147.996,1,1
gaussian_10K_I.pnt,10000,distanceOrderedGreedy,21772800000000.0,0.0,21772800000000.0,21772800000000.0,116.358,1,1
gaussian_1k.pnt,1000,distanceOrderedGreedy,313901.0,0.0,313901.0,313901.0,4.865,1,1
gaussian_200.pnt,200,distanceOrderedGreedy,60804.7,0.0,60804.7,60804.7,3.183,1,1
gaussian_25.pnt,25,distanceOrderedGreedy,7222.32,0.0,7222.32,7222.32,2.369,1,1
gaussian_2k.pnt,2000,distanceOrderedGreedy,631621.0,0.0,631621.0,631621.0,7.807,1,1
