dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,distanceOrderedGreedy,2481.91,0.0,2481.91,2481.91,120.538,1,1
C_10K_I.pnt,10000,distanceOrderedGreedy,15356700000000.0,0.0,15356700000000.0,15356700000000.0,117.306,1,1
Ci_10K_D.pnt,10000,distanceOrderedGreedy,5445.46,0.0,5445.46,5445.46,8.252,1,1
Ci_10K_I.pnt,10000,distanceOrderedGreedy,16809700000000.0,0.0,16809700000000.0,16809700000000.0,6.256,1,1
convex_1k.pnt,1000,distanceOrderedGreedy,63975.5,0.0,63975.5,63975.5,2.853,1,1
convex_200.pnt,200,distanceOrderedGreedy,13043.1,0.0,13043.1,13043.1,2.198,1,1
convex_25.pnt,25,distanceOrderedGreedy,1877.72,0.0,1877.72,1877.72,2.118,1,1
convex_2k.pnt,2000,distanceOrderedGreedy,127638.0,0.0,127638.0,127638.0,2.715,1,1
convex_3k.pnt,3000,distanceOrderedGreedy,191300.0,0.0,191300.0,191300.0,3.304,1,1
convex_50.pnt,50,distanceOrderedGreedy,3483.45,0.0,3483.45,3483.45,1.954,1,1
convex_500.pnt,500,distanceOrderedGreedy,32143.8,0.0,32143.8,32143.8,3.153,1,1
EM_46625_F.pnt,46625,distanceOrderedGreedy,7200330.0,0.0,7200330.0,7200330.0,2409.207,1,1
EM_46625_F.pnt,46625,distanceOrderedGreedy,7200330.0,0.0,7200330.0,7200330.0,2422.844,1,1
fractal_1k.pnt,1000,distanceOrderedGreedy,22998.9,0.0,22998.9,22998.9,4.364,1,1
fractal_200.pnt,200,distanceOrderedGreedy,8691.95,0.0,8691.95,8691.95,2.504,1,1
fractal_25.pnt,25,distanceOrderedGreedy,1970.87,0.0,1970.87,1970.87,2.172,1,1
fractal_2k.pnt,2000,distanceOrderedGreedy,37897.5,0.0,37897.5,37897.5,6.726,1,1
fractal_3k.pnt,3000,distanceOrderedGreedy,51777.4,0.0,51777.4,51777.4,11.611,1,1
fractal_50.pnt,50,distanceOrderedGreedy,3470.51,0.0,3470.51,3470.51,2.328,1,1
fractal_500.pnt,500,distanceOrderedGreedy,14823.3,0.0,14823.3,14823.3,2.761,1,1
gaussian_10K_D.pnt,10000,distanceOrderedGreedy,4995.15,0.0,4995.15,4995.15,113.296,1,1
gaussian_10K_I.pnt,10000,distanceOrderedGreedy,21772800000000.0,0.0,21772800000000.0,21772800000000.0,112.884,1,1
gaussian_1k.pnt,1000,distanceOrderedGreedy,313901.0,0.0,313901.0,313901.0,4.503,1,1
gaussian_200.pnt,200,distanceOrderedGreedy,60804.7,0.0,60804.7,60804.7,2.317,1,1
gaussian_25.pnt,25,distanceOrderedGreedy,7222.32,0.0,7222.32,7222.32,1.986,1,1
gaussian_2k.pnt,2000,distanceOrderedGreedy,631621.0,0.0,631621.0,631621.0,6.923,1,1
gaussian_3k.pnt,3000,distanceOrderedGreedy,936407.0,0.0,936407.0,936407.0,12.51,1,1
gaussian_50.pnt,50,distanceOrderedGreedy,15966.9,0.0,15966.9,15966.9,2.376,1,1
gaussian_500.pnt,500,distanceOrderedGreedy,151121.0,0.0,151121.0,151121.0,2.465,1,1
GIS_4897_F.pnt,4897,distanceOrderedGreedy,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,NO_OUTPUT,0,1
grid_10K_D.pnt,10000,distanceOrderedGreedy,6485.58,0.0,6485.58,6485.58,103.004,1,1
grid_10K_I.pnt,10000,distanceOrderedGreedy,28497900000000.0,0.0,28497900000000.0,28497900000000.0,99.041,1,1
hierarchical_1k.pnt,1000,distanceOrderedGreedy,23235.3,0.0,23235.3,23235.3,4.29,1,1
hierarchical_200.pnt,200,distanceOrderedGreedy,5761.87,0.0,5761.87,5761.87,2.304,1,1
hierarchical_25.pnt,25,distanceOrderedGreedy,864.64,0.0,864.64,864.64,2.085,1,1
hierarchical_2k.pnt,2000,distanceOrderedGreedy,52320.8,0.0,52320.8,52320.8,7.39,1,1
hierarchical_3k.pnt,3000,distanceOrderedGreedy,70562.2,0.0,70562.2,70562.2,12.734,1,1
hierarchical_50.pnt,50,distanceOrderedGreedy,2146.29,0.0,2146.29,2146.29,2.293,1,1
hierarchical_500.pnt,500,distanceOrderedGreedy,12788.8,0.0,12788.8,12788.8,2.524,1,1
latin_hypercube_1k.pnt,1000,distanceOrderedGreedy,47468.2,0.0,47468.2,47468.2,3.747,1,1
latin_hypercube_200.pnt,200,distanceOrderedGreedy,11942.3,0.0,11942.3,11942.3,2.108,1,1
latin_hypercube_25.pnt,25,distanceOrderedGreedy,1885.58,0.0,1885.58,1885.58,1.877,1,1
latin_hypercube_2k.pnt,2000,distanceOrderedGreedy,101828.0,0.0,101828.0,101828.0,7.115,1,1
latin_hypercube_3k.pnt,3000,distanceOrderedGreedy,153403.0,0.0,153403.0,153403.0,12.743,1,1
latin_hypercube_50.pnt,50,distanceOrderedGreedy,3656.57,0.0,3656.57,3656.57,2.204,1,1
latin_hypercube_500.pnt,500,distanceOrderedGreedy,27305.0,0.0,27305.0,27305.0,2.548,1,1
